SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
448,KKR/TS/448,ORISON,,,,,,,,,,,
,,,NEERAJ,14/05/2024,MB/35,15/05/2024,, ,,,,,
,,GANESH (B),,,MI/01,13/09/2023,,,,,,,
449,KKR/TS/449,POLAR,,,,,,,,,,,
,,BERLIA,,,MI/01,03/12/2022,,,,,,,
450,KKR/TS/450,GANESH (B),,,,,,,,,,,
,,ORISON,,,MI/01,03/12/2022,,,,,,,
451,KKR/TS/451,ORIENT,,,,,,NA,,,,,
452,KKR/TS/452,GEC GOLDLINE,,,,,,,,,,,
,,CROMPTON,,,MI/04,17/04/2021,,,,,,,
453,KKR/TS/453,ORIENT,,,,,,,,,,,
,,BERLIA,,,MI/04,17/04/2021,,,,,,,
454,KKR/TS/454,GANESH (B),,,MI/03,03/12/2022,,,,,,,
455,KKR/TS/455,CROMPTON ,,,,,,,,,,,
,,BAJAJ,,,MI/03,03/12/2022,,,,,,,
456,KKR/TS/456,ORISON ,,,,,,,,,,,
,,GANESH (B),,,MI/03,03/12/2022,,,,,,,
457,KKR/TS/457,ORISON ,,,MI/05,16/3/2022,,,,,,,
458,KKR/TS/458,ORISON ,,,B/130,14/03/2023,,,,,,,
,,,,,MI/05,16/3/2022,,,,,,,
459,KKR/TS/459,ORISON ,,,MI/06,02/04/2022,,,,,,,
,,ORISON ,,,B/130,14/03/2023,,,,,,,
460,KKR/TS/460,BAJAJ,MA/15,,,,,NA,,,,,
461,KKR/TS/461,GANESH (B),MA/15,,,,,,,,,,
,,,NEERAJ,15/05/2024,,,,NA,,,,,
,,BAJAJ ,,,MI/07,17/04/2022,,,,,,,
462,KKR/TS/462,ORISON ,,,MI/07,17/04/2022,,,,,,,
463,KKR/TS/463,ORIENT ,,,B/09,06/08/2022,,,,,,,
464,KKR/TS/464,ORISON ,,,B/09,06/08/2022,,,,,,,
465,KKR/TS/465,ORISON ,,,B/08,19/03/2022,,,,,,,
,,,,,B/08,18/07/2023,,,,,,,
466,KKR/TS/466,ORISON ,manish,02/03/2023,B/08,18/03/2022,19/02/2023,,,,,,
,,,,,MV/24,03/03/2023,,,,,,,
467,KKR/TS/467,ORISON ,,,B/08,20/03/2022,,,,,,,
,,,,,B/08,18/07/2023,,,,,,,
468,KKR/TS/468,USHA ,,,B/10,04/12/2022,,NA,,,,,
469,KKR/TS/469,BAJAJ ,,,B/10,04/12/2022,,,,,,,
470,KKR/TS/470,USHA ,,,B/10,04/12/2022,,,,,,,
471,KKR/TS/471,ARKAYLITE ,,,,,,,,,,,
,,,MANISH,07/12/2022,,,,NA,,,,,
,,USHA (B),,,MI/07,17/04/2022,,,,,,,
,,ORIENT,,,MG/29,22/07/2023,,,,,,,
472,KKR/TS/472,ORISON ,,,MA/19,06/12/2022,,,,,,,
473,KKR/TS/473,USHA (B),,,,,,,,,,,
,,,MANISH,07/12/2022,B/85,08/12/2022,,,,,,,
474,KKR/TS/474,ORISON ,,,,,,,,,,,
,,,MANISH,03/12/2022,,,,NA,,,,,
475,KKR/TS/475,ORISON ,MANISH,11/11/2023,MA/19,06/12/2022,11/11/2023,,,,,,
,,,,,B/170,14/11/2023,,,,,,,
476,KKR/TS/476,BAJAJ ,,,,,,,,,,,
,,,MANISH,03/12/2022,B/146,14/12/2022,,,,,,,
477,KKR/TS/477,ORISON ,,,MB/25,23/11/2022,,,,,,,
478,KKR/TS/478,USHA ,,,B/279,22/11/2022,,,,,,,
,,,MANISH ,30/01/2023,,,,?,,,,,
,,,MANISH ,15/03/2023,MB/16,15/03/2023,,,,,,,
,,,,,,,,,,,,,
479,KKR/TS/479,BAJAJ ,,,,,,,,,,,
,,,MANISH ,10/02/2023,MH/27,24/07/2023,,,,,,,
,,BAJAJ,,,B/264,06/03/2023,07/04/2023,,,,,,
,,,MANISH ,07/04/2023,,,,,,,,,
,,,,,,,,,,,,,
,,ORISON,MANISH ,17/08/2023,,,,NA,,,,,
480,KKR/TS/480,GANESH ,,,MI/40,26/1/2022,15/08/2022,,,,,,
,,,,,MI/40,22/11/2022,,,,,,,
481,KKR/TS/481,GANESH ,,,MI/40,22/11/2022,15/08/2022,,,,,,
,,,,,MI/40,22/11/2022,,,,,,,
482,KKR/TS/482,CROMPTON ,,,MI/40,26/1/2022,15/08/2022,,,,,,
,,,,,MI/40,22/11/2022,,,,,,,
483,KKR/TS/483,GANESH ,,,B/145,20/11/2022,,,,,,,
484,KKR/TS/484,BAJAJ ,,,B/145,20/11/2022,,,,,,,
485,KKR/TS/485,ORISON ,,,B/145,20/11/2022,,,,,,,
486,KKR/TS/486,ORISON ,,,B/215,16/11/2022,,,,,,,
487,KKR/TS/487,ORISON ,,,B/215,16/11/2022,,,,,,,
488,KKR/TS/488,ORIENT ,,,B/189,16/11/2022,,,,,,,
489,KKR/TS/489,ORIENT ,,,B/189,16/11/2022,,,,,,,
490,KKR/TS/490,ORISON ,,,,,,,,,,,
,,,MANISH,27/10/2022,MX/13,20/11/2022,04/07/2023,,,,,,
,,,MANISH,09/10/2023,,,,,,,,,
491,KKR/TS/491,CROMPTON ,,,,,,NA,,,,,
,,GANESH,,,MH/39,15/09/2022,,,,,,,
492,KKR/TS/492,ORTEM ,,,B/215,17/11/2022,,,,,,,
493,KKR/TS/493,GANESH ,,,B/91,20/11/2022,,,,,,,
,,ORISON,,,MH/39,15/09/2022,,,,,,,
494,KKR/TS/494,GANESH ,,,MI/38,19/03/2022,,,,,,,
,,USHA,,,MJ/31,18/09/2022,,,,,,,
495,KKR/TS/495,GANESH ,,,MI/38,19/03/2022,,,,,,,
,,ORISON,PAWAN,24/10/2024,MJ/31,18/09/2022,,,,,,,
496,KKR/TS/496,CROMPTON ,,,MI/38,19/03/2022,,,,,,,
,,ORIENT ,,,MX/05,03/11/2022,26/07/2023,,,,,,
,,,MANISH,02/11/2022,,,,,,,,,
497,KKR/TS/497,GANESH ,,, B/248,23/10/2022,,,,,,,
,,ORIENT ,MANISH,27/07/2023,,,,?,,,,,
498,KKR/TS/498,BAJAJ ,,,,,,?,,,,,
,,OISON,,, B/248,23/10/2022,,,,,,,
499,KKR/TS/499,ORIENT ,,,,,,?,,,,,
,,ORISON,,, B/248,23/10/2022,,,,,,,
500,KKR/TS/500,REPAIRED,,,,,,NA,,,,,
501,KKR/TS/501,ORISON,MANISH,29/07/2023,MJ/05,30/07/2023,,,,,,,
502,KKR/TS/502,ORISON,,,,,,NA,,,,,
503,KKR/TS/503,ORISON,,,,,,NA,,,,,
504,KKR/TS/504,GANESH,,,,,,NA,,,,,
505,KKR/TS/505,ORTEM,,,,,,NA,,,,,
506,KKR/TS/506,ORISON,MANISH,29/09/2023,MI/36,01/10/2023,,,,,,,
507,KKR/TS/507,ORISON,,,,,,NA,,,,,
508,KKR/TS/508,USHA,,,B/112,20/04/2022,,NA,,,,,
,,USHA,,,RCMS OFFICE ,21/04/2022,,NA,,,,,
,,USHA,,,RCMS OFFICE ,22/04/2022,,NA,,,,,
509,KKR/TS/509,ORISON,MANISH,07/12/2023,MM/01,28/08/2021,19/10/2022,,,,,,
,,,MANISH,20/10/2022,MH/35,14/12/2023,,,,,,,
510,KKR/TS/510,ORISON,,,,,,NA,,,,,
511,KKR/TS/511,ORISON,,,B/09,06/08/2022,10/10/2023,,,,,,
,,,MANISH,05/12/2022,,,,?,,,,,
,,,MANISH,10/10/2023,,,,NA,,,,,
512,KKR/TS/512,ORISON,,,,,,NA,,,,,
513,KKR/TS/513,GANESH,,,,,,NA,,,,,
514,KKR/TS/514,ORISON,,,,,,NA,,,,,
515,KKR/TS/515,GEC GOLDLINE,,,,,,NA,,,,,
,,ORISON,,,MA/24,27/03/2022,,,,,,,
516,KKR/TS/516,ORISON,,,SHIV MANDIR,11/07/2022,,NA,,,,,
517,KKR/TS/517,ORISON,,,B/101,31/3/2022,,,,,,,
518,KKR/TS/518,ORISON,,,,,,,,,,,
,,,,,MB/14,31/03/2022,13/08/2022,,,,,,
,,,MANISH,15/08/2022,MH/35,16/08/2022,23/05/2023,,,,,,
,,,,,B/87,26/05/2023,,,,,,,
519,KKR/TS/519,ORISON,,,B/129,16/11/2022,,,,,,,
520,KKR/TS/520,ORISON,,,B/267,31/03/2022,14/06/2022,,,,,,
521,KKR/TS/521,USHA,,,MQ/13,31/03/2022,,,,,,,
,,BAJAJ,MANISH,13/02/2023,,,,NA,,,,,
522,KKR/TS/522,BAJAJ,,,,,,NA,,,,,
523,KKR/TS/523,ORISON,,,,,,,,,,,
,,,,,ME/28,09/06/2022,,,,,,,
524,KKR/TS/524,ORISON,COIL CUT/26022024,,MU/36,02/04/2022,,,,,,,
525,KKR/TS/525,ORISON,,,B/139,02/04/2022,02/05/2023,,,,,,
,,,MANISH,02/05/2023,B/225,04/05/2023,13/09/2023,,,,,,
526,KKR/TS/526,ORISON,MANISH,10/04/2023,B/98,02/04/2022,10/04/2023,,,,,,
,,,,,MA/08,11/04/2023,,,,,,,
527,KKR/TS/527,ORISON,,,MQ/18,03/04/2022,,,,,,,
528,KKR/TS/528,ORISON,,,MP/24,04/04/2022,,,,,,,
529,KKR/TS/529,ORISON,,,ME/16,04/04/2022,,,,,,,
,,,,,B/81,7/3/2024,,,,,,,
530,KKR/TS/530,ORISON,,,MP/22,04/04/2022,,,,,,,
531,KKR/TS/531,ORISON,,,MQ/37,04/04/2022,,,,,,,
,,,,,MQ/35,04/04/2022,21/07/2023,,,,,,
,,GEC,,,MI/19,02/03/2023,,,,,,,
532,KKR/TS/532,ORISON,,,MD/02,05/04/2022,,,,,,,
533,KKR/TS/533,ORISON,MANISH,31/10/2023,MV/28,05/04/2022,20/10/2022,,,,,,
,,,MANISH,27/11/2022,B/118,02/12/2022,01/11/2023,,,,,,
534,KKR/TS/534,ORISON,,,D/11,05/04/2022,13/10/2023,,,,,,
,,,MANISH,06/12/2023,MC/27,26/01/2024,,,,,,,
,,,NEERAJ,14/05/2024,,,,?,,,,,
,KKR/TS/535,ORISON,,,B/217,05/04/2022,01/09/2022,,,,,,
535,,,,,MD/24,01/09/2022,30/05/2023,,,,,,
,,,,,MB/14,01/06/2023,,,,,,,
536,KKR/TS/536,ORISON,,,MAULANA,05/04/2022,,NA,,,,,
537,KKR/TS/537,BAJAJ,,,,,,NA,,,,,
538,KKR/TS/538,ORISON,,,,,,,,,,,
,,,,,MC/27,29/08/2022,25/01/2024,,,,,,
,,,NEERAJ,08/05/2024,MD/25,16/05/2024,,,,,,,
539,KKR/TS/539,ORISON,,,B/129,08/04/2022,,,,,,,
540,KKR/TS/540,ORISON,MANISH,02/09/2023,MM/18,08/04/2022,18/07/2022,,,,,,
,,,MANISH,19/10/2023,,,,,,,,,
541,KKR/TS/541,ORISON,MANISH,16/06/2023,B/129,08/04/2022,23/10/2022,,,,,,
,,,,,ME/16,27/10/2022,15/06/2023,,,,,,
542,KKR/TS/542,ORISON,,,MA/13,08/04/2022,,,,,,,
,,,NEERAJ,12/05/2024,B/249,16/05/2024,,,,,,,
,,,,,,,,,,,,,
543,KKR/TS/543,ORIENT,,,B/249,11/04/2022,16/05/2022,,,,,,
,,,,,MI/08,20/05/2022,,,,,,,
,,,,,MI/09,08/08/2022,,,,,,,
544,KKR/TS/544,ORISON,,,,,,NA,,,,,
545,KKR/TS/545,ORIENT,,,,,,NA,,,,,
,,ORISON,MANISH,03/09/2022,MW/21,14/04/2022,29/08/2022,,,,,,
,,,MANISH,03/09/2022,B/89,03/09/2022,09/05/2023,,,,,,
,,,,,B/242,16/09/2023,,,,,,,
546,KKR/TS/546,ORISON,MANISH,03/04/2023,B/202,15/04/2022,03/04/2023,,,,,,
,,,,,B/267,03/05/2023,03/05/2023,,,,,,
,,,,,MN/25,04/05/2023,,,,,,,
547,KKR/TS/547,ORISON,,,C/33,16/04/2022,27/11/2022,,,,,,
548,KKR/TS/548,USHA,MANISH,13/02/2023,MC/33,17/04/2022,,,,,,,
,,,,,ND/33,17/04/2022,,NA,,,,,
549,KKR/TS/549,BAJAJ,,,B/251,25/04/2022,08/12/2022,,,,,,
,,,,,MW/28,15/12/2022,,,,,,,
,,ORISON,,,C/33,16/04/2022,,,,,,,
,,ZOLTA,,,MU/09,14/10/2023,,,,,,,
550,KKR/TS/550,USHA,,,B/129,25/04/2022,,,,,,,
,,CLASSIC,,,C/33,16/04/2022,,,,,,,
551,KKR/TS/551,ORISON,,,B/243,25/04/2022,,NA,,,,,
,,BAJAJ,MW/28,15/12/2022,B/127,17/04/2022,,,,,,,
552,KKR/TS/552,ORISON,,,B/168,17/04/2022,28/02/2024,,,,,,
,,,,,B/47,06/03/2024,,,,,,,
,,,,,,,,,,,,,
553,KKR/TS/553,CROMPTON ,,,MM/25,16/04/2022,,,,,,,
,,,,,,,,,,,,,
554,KKR/TS/554,GANESH,,,MD/33,25/04/2022,04/09/2022,,,,,,
,,,,,B/194,04/09/2022,,,,,,,
,,ORISON,,,B/287,17/04/2022,,,,,,,
555,KKR/TS/555,ORISON,,,MI/32,26/04/2022,,,,,,,
,,,,,MC/36,13/04/2024,,,,,,,
556,KKR/TS/556,ORISON,,,MV/26,26/04/2022,,,,,,,
,,,,,,,,,,,,,
,,CROMPTON ,,,B/311,16/04/2022,19/04/2023,,,,,,
557,KKR/TS/557,GEC GOLDLINE,,,MN/25,28/04/2022,31/08/2022,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
558,KKR/TS/558,GEC GOLDLINE,,,B/82,29/04/2022,,,,,,,
,,KASSELS,,,DAV,01/05/2022,,,,,,,
559,KKR/TS/559,USHA,,,B/117,01/05/2022,,,,,,,
560,KKR/TS/560,ORISON,MANISH,30/12/2022,B/307,26/04/2022,27/12/2022,,,,,,
,,,,,MV/19,30/12/2022,28/12/2023,,,,,,
561,KKR/TS/561,ORISON,MANISH,16/09/2022,B/100,27/04/2022,11/09/2022,,,,,,
,,,,,MV/21,18/09/2022,,,,,,,
,,BAJAJ,,,B/240,21/04/2022,,NA,,,,,
562,KKR/TS/562,ORISON,,,MB/23,05/04/2022,03/04/2023,,,,,,
,,USHA,,,MADARSHA,,,,,,,,
563,KKR/TS/563,ORISON,PAWAN,11/03/2024,MP/34,27/04/2022,25/07/2023,REPAIRED 28/07/2023,,,,,
,,,MANISH,28/07/2023,MX/05,29/07/2023,17/10/2023,,,,,,
,,,,,B/193,23/05/2024,23/05/2024,,,,,,
,,GEC GOLDLINE,,,B/233,23/04/2022,,,,,,,
564,KKR/TS/564,ORISON,MANISH,09/04/2023,MB/20,28/04/2022,15/03/2023,,17/03/2023,,,,
,,ORISON,,,MD/06,23/04/2022,,,,,,,
565,KKR/TS/565,GANESH,,,B/181,21/04/2022,,,,,,,
,,ORISON,,,MP/35,30/04/2022,3/5/2022,,,,,,
566,KKR/TS/566,BAJAJ,,,TS/EM,29/04/2022,,NA,,,,,
567,KKR/TS/567,ORISON,,,CPI U/CLUB,03/05/2022,,,,,,,
,,,,,MD/06,23/04/2022,,,,,,,
568,KKR/TS/568,ORISON,,,RCMS,21/04/2022,,NA,,,,,
569,KKR/TS/569,USHA,MANISH,17/11/2023,WHARFWALL,22/04/2022,,,,,,,
,,,MANISH,02/10/2022,MW/21,03/10/2022,,,,,,,
570,KKR/TS/570,  ORISON ,,,,,,,,,,,
,,,MANISH,26/10/2022,BX/01,27/10/2022,,,,,,,
,,USHA,,,B/311,04/05/2022,,,,,,,
571,KKR/TS/571,KESSEL ,,,MM/20,22/04/2022,05/10/2023,,,,,,
572,KKR/TS/572,ORIENT,,,B/154,29/04/2022,21/09/2023,,,,,,
573,KKR/TS/573,ORISON,,,MADARSA,23/04/2022,,NA,,,,,
574,KKR/TS/574,ORISON,,,B/233,23/04/2022,,,,,,,
575,KKR/TS/575,USHA,,,MV/09,09/05/2022,15/07/2023,,,,,,
,,,,,B/18,15/07/2023,,,,,,,
,,ORISON,,,B/233,23/04/2022,18/04/2023,,,,,,
,,,,,B/01,19/04/2023,28/08/2023,,,,,,
576,KKR/TS/576,GANESH,MANISH,01/07/2023,MB/20,21/04/2022,11/08/2022,,,,,,
,,,,,B/242,02/07/2023,16/09/2023,,,,,,
,,,,,MA/06,23/03/2024,,,,,,,
577,KKR/TS/577,ORISON,MANISH,30/08/2022,B/157,02/05/2022,30/08/2022,,,,,,
,,,,,MD/03,30/08/2022,,,,,,,
578,KKR/TS/578,ORISON,,,DAV,01/05/2022,,NA,,,,,
,,,MANISH ,05/05/2023,B/172,27/11/2023,,,,,,,
,,,MANISH ,02/12/2023,MB/31,04/12/2023,,,,,,,
,,,,,,,,,,,,,
579,KKR/TS/579,ORISON,,,MQ/25,28/6/2022,,,,,,,
,,,,,CHP,,,,,,,,
580,KKR/TS/580,ZOLTA,,,MJ/04,05/05/2022,,,,,,,
,,,,,,,,,,,,,
581,KKR/TS/581,BAJAJ ,,,B/259,07/07/2022,17/07/2023,,,,,,
,,,MANISH,27/07/2023,B/86,28/07/2023,,,,,,,
582,KKR/TS/582,ORISON,MANISH,24/11/2023,B/157,,,,,,,,
,,,MANISH,24/11/2022,,,,,,,,,
583,KKR/TS/583,GANESH ,,,,,,,,,,,
584,KKR/TS/584,ORISON,MANISH,01/07/2023,,,,,,,,,
585,KKR/TS/585,POLAR,,,B/154,29/04/2022,,,,,,,
,,ORISON,,,B/52,23/05/2022,,,,,,,
586,KKR/TS/586,POLAR,,,MB/23,04/05/2022,,,,,,,
,,ORISON,,,DAV,01/05/2022,,,,,,,
587,KKR/TS/587,BAJAJ,MANISH,01/10/2023,B/313,29/04/2022,18/09/2023,,,,,,
,,ORISON,MANISH,10/05/2023,DAV,01/05/2022,,,,,,,
,,,,,MB/33,17/05/2023,,,,,,,
588,KKR/TS/588,ORISON,,,DAV,01/05/2022,,,,,,,
589,KKR/TS/589,ORISON,,,DAV,01/05/2022,,,,,,,
590,KKR/TS/590,ORISON,,,DAV,01/05/2022,,,,,,,
591,KKR/TS/591,ORISON,,,DAV,01/05/2022,,,,,,,
592,KKR/TS/592,ORISON,,,DAV,01/05/2022,,,,,,,
593,KKR/TS/593,ORISON,,,DAV,01/05/2022,,,,,,,
594,KKR/TS/594,ORISON,,,DAV,01/05/2022,,,,,,,
595,KKR/TS/595,ORISON,,,DAV,01/05/2022,,,,,,,
596,KKR/TS/596,ORISON,MANISH,10/05/2023,DAV,01/05/2022,,,,,,,
,,,MANISH,29/09/2023,,,,,,,,,
,,ORISON,,,MP/03,10/05/2023,,,,,,,
597,KKR/TS/597,BAJAJ,,,CPI U/CLUB,03/05/2022,,NA,,,,,
598,KKR/TS/598,BAJAJ,,,MQ/39,11/08/2021,12/05/2022,,,,,,
,,,,,B/226,12/05/2022,,,,,,,
599,KKR/TS/599,ORISON,,,MP/35,3/5/2022,21/02/2024,,,,,,
,,,NEERAJ ,08/05/2024,B/130,11/05/2024,,,,,,,
,,,,,,,,,,,,,
600,KKR/TS/600,ORISON,,,B/193,21/10/2022,17/04/2023,,,,,,
,,,MANISH ,18/04/2023,B/223,18/04/2023,,,,,,,
,,ORISON ,NEERAJ,22/04/2024,,,,,,,,,
601,KKR/TS/601,ORIENT,,,MV/05,06/05/2022,06/07/2023,,,,,,
602,KKR/TS/602,ORISON,,,MV/05,06/05/2022,14/06/2022,,,,,,
603,KKR/TS/603,ORIENT,,,MU/30,07/05/2022,,,,,,,
,,,,,,,,,,,,,
604,KKR/TS/604,ORIENT,,,MB/25,16/05/2022,16/10/2022,,,,,,
,,,,,MW/39,13/02/2023,,,,,,,
605,KKR/TS/605,KHAITAN,,,C/13,09/05/2022,,,,,,,
606,KKR/TS/606,ORTEM,,,C/13,09/05/2022,,,,,,,
607,KKR/TS/607,CROMPTON,,,C/13,09/05/2022,,,,,,,
,,,,,,,,,,,,,
608,KKR/TS/608,GANESH,,,MQ/39,12/05/2022,,,,,,,
609,KKR/TS/609,USHA,,,MW/26,12/05/2022,,,,,,,
610,KKR/TS/610,ORIENT,MANISH,26/04/2023,HOSPITAL,11/05/2022,,,,,,,
,,,,,SSM,28/04/2023,,,,,,,
611,KKR/TS/611,ORIENT,MANISH,12/02/2023,C/31,13/05/2022,09/02/2023,,,,,,
,,,,,MI/11,22/02/2023,,,,,,,
612,KKR/TS/612,ORIENT,MANISH,04/09/2022,C/31,13/05/2022,04/09/2022,,,,,,
,,,,,MADARSHA,23/08/2023,,,,,,,
613,KKR/TS/613,USHA,,,MQ/29,16/05/2022,,NA,,,,,
614,KKR/TS/614,USHA,,,B/249,16/05/2022,22/05/2022,,,,,,
,,USHA,,,C/04,07/06/2022,18/03/2023,,,,,,
615,KKR/TS/615,ORISON ,MANISH,26/04/2023,B/136,17/05/2022,11/08/2022,,,,,,
,,,,,MB/22,30/04/2023,,,,,,,
616,KKR/TS/616,ORISON,,,MX/37,17/05/2022,9/10/2022,,,,,,
,,,MANISH,10/10/2022,B/45,13/10/2022,,,,,,,
,,ORISON,PAWAN,02/04/2024,B/12,02/04/2024,,,,,,,
617,KKR/TS/617,ORISON,,,B/204,17/05/2022,,,,,,,
618,KKR/TS/618,ORISON,MADAN JHA,21/03/2023,ML/12,16/05/2022,26/01/2023,,,,,,
,,,MANISH,02/04/2023,MB/23,03/04/2023,,,,,,,
619,KKR/TS/619,CROMPTON,,,B/96,6/6/2022,30/05/2023,,,,,,
,,,,,MD/40,07/06/2023,11/06/2023,,,,,,
,,,MANISH,02/09/2023,,,,,,,,,
620,KKR/TS/620,ORIENT,,,B/93,21/05/2022,08/08/2022,,,,,,
,,,,,B/258,14/10/2022,14/07/2023,,,,,,
,,,,,B/66,14/07/2023,,,,,,,
621,KKR/TS/621,ORISON,MANISH,10/03/2023,B/249,22/05/2022,,,,,,,
,,ORISON,,,MX/02,29/03/2023,,,,,,,
622,KKR/TS/622,ORTEM,,,B/121,25/05/2022,,,,,,,
,,,MANISH,07/10/2022,,,,,,,,,
,,ORIENT,,,MG/37,22/07/2023,18/10/2023,,,,,,
623,KKR/TS/623,BERLIA,,,MN/19,25/05/2022,,,,,,,
624,KKR/TS/624,ORTEM,,,MJ/04,25/05/2022,,,,,,,
625,KKR/TS/625,ZOLTA,,,C/04,07/06/2022,,,,,,,
626,KKR/TS/626,ORISON ,,,,,,NA,,,,,
627,KKR/TS/627,BAJAJ,,,MC/36,06/06/2022,,,,,,,
,,,,,MN/25,08/09/2022,,,,,,,
628,KKR/TS/628,GANESH,coil cut,22/03/2023,B/294,28/05/2022,12/07/2022,,,,,,
,,,MANISH,25/06/2023,,,,,,,,,
629,KKR/TS/629,ORISON ,,,MJ/03,29/05/2022,17/07/2022,,,,,,
630,KKR/TS/630,ORISON ,MANISH,04/02/2023,MQ/19,29/05/2022,04/02/2023,,,,,,
,,,,,MD/39,05/02/2023,,,,,,,
631,KKR/TS/631,ANCHOR,MANISH,06/09/2022,C/42,05/08/2022,05/09/2022,,,,,,
,,,,,MB/33,10/9/2022,07/10/2022,,,,,,
,,,,,,,,,,,,,
632,KKR/TS/632,ORISON,MANISH,09/11/2022,,,,NA,,,,,
633,KKR/TS/633,BAJAJ KASSELS,,,B/267,29/03/2024,,,,,,,
634,KKR/TS/634,ORIENT,MANISH,14/10/2023,MD/09,28/09/2022,11/10/2023,,,,,,
635,KKR/TS/635,GANESH,,,MQ/29,02/06/2022,,,,,,,
636,KKR/TS/636,GANESH,MANISH ,22/03/2023,MQ/29,02/06/2022,05/10/2022,,,,,,
,,,,,B/228,22/03/2023,,,,,,,
637,KKR/TS/637,ORIENT,,,CHP,10/05/2022,,NA,,,,,
638,KKR/TS/638,GEC GOLDLINE,MANISH,23/03/2023,MI/10,18/06/2022,02/08/2022,,,,,,
639,KKR/TS/639,ORIENT,,,MI/10,05/06/2022,11/06/2022,,,,,,
,,,,,MV/33,13/06/2022,12/07/2022,,,,,,
640,KKR/TS/640,ORIENT,,,,,,,,,,,
,,,,,MJ/05,05/06/2022,,,,,,,
641,KKR/TS/641,ORISON,MANISH ,25/09/2023,B/221,27/09/2023,,,,,,,
642,KKR/TS/642,BAJAJ,,,B/290,05/06/2022,04/08/2022,,,,,,
,,,MADAN JHA,20/10/2022,,,,,,,,,
,,,MANISH ,10/11/2022,B/241,12/12/2022,,,,,,,
,,,,,,,,,,,,,
643,KKR/TS/643,ORISON,MANISH ,01/05/2023,B/153,07/06/2022,01/05/2023,,,,,,
,,,,,B/26,03/05/2023,,,,,,,
644,KKR/TS/644,ORISON,,,SECURITY DEPTT,08/06/2022,,NA,,,,,
645,KKR/TS/645,USHA,,,B/181,11/06/2022,,,,,,,
646,KKR/TS/646,GANESH,MANISH,05/09/2022,MJ/07,10/06/2022,01/09/2022,,,,,,
,,,,,,,,,,,,,
647,KKR/TS/647,GANESH,,,C/37,18/06/2022,,,,,,,
648,KKR/TS/648,GANESH,,,MD/09,28/09/2022,,,,,,,
649,KKR/TS/649,ORISON ,,,ME/14,09/06/2022,04/08/2023,,,,,,
,,,,,MC/25,08/08/2023,,,,,,,
650,KKR/TS/650,ORISON ,,,MC/15,15/06/2022,,,,,,,
651,KKR/TS/651,ORISON ,,,C/37,18/06/2022,,,,,,,
652,KKR/TS/652,ORISON ,,,B/186,15/06/2022,04/05/2024,,,,,,
,,,NEERAJ,14/05/2024,,,,,,,,,
653,KKR/TS/653,USHA,,,MJ/22,19/06/2022,,,,,,,
654,KKR/TS/654,USHA(B),,,MN/22,20/06/2022,01/05/2023,,,,,,
,,,,,MN/23,20/06/2022,,,,,,,
655,KKR/TS/655,ORISON ,,,B/68,23-06/2022,17/02/2023,,,,,,
656,KKR/TS/656,BAJAJ ,,,,,,NA,,,,,
657,KKR/TS/657,ORTEM,,,,,,NA,,,,,
658,KKR/TS/658,GEC,,,SVM,,,,,,,,
659,KKR/TS/659,ORTENT,MANISH,10/06/2023,ME/16,15/06/2023,19/08/2023,,,,,,
,,,MANISH,28/10/2023,,,,,,,,,
,,USHA,RAHUL,01/04/2024,,,,NA,,,,,
660,KKR/TS/660,ORIENT,,,BX/01,11/07/2022,16/07/2022,,,,,,
,,USHA (B),MANISH,29/06/2023,,,,NA,,,,,
661,KKR/TS/661,BAJAJ ,AL WINDING,,,,,NA,,,,,
662,KKR/TS/662,ORISON ,MANISH,14/06/2023,MD/30,25/06/2022,12/06/52023,,,,,,
,,,,,B/268,15/06/2023,,,,,,,
663,KKR/TS/663,USHA,,,B/285,25/05/2022,,,,,,,
,,,,,B/219,19/09/2022,,,,,,,
664,KKR/TS/664,ORISON ,,,,,,NA,,,,,
665,KKR/TS/665,ORISON ,MADAN JHA,28/09/2022,MW/21,30/09/2022,25/04/2023,,,,,,
,,,MANISH,26/04/2023,MD/09,28/04/2023,,,,,,,
666,KKR/TS/666,GANESH ,MANISH,02/10/2022,B/303,27/06/2022,,,,,,,
667,KKR/TS/667,GANESH ,,,B/303,27/06/2022,02/09/2022,,,,,,
,,,,,B/309,08/09/2022,,,,,,,
,,,,,,,,,,,,,
668,KKR/TS/668,GANESH ,,,ME/18,28/06/2022,,,,,,,
669,KKR/TS/669,GANESH ,,,MG/25,29/07/2023,,,,,,,
,,GANESH ,,,B/49,28/06/2022,,,,,,,
670,KKR/TS/670,USHA,,,C/34,30/06/2022,,,,,,,
671,KKR/TS/671,GANESH ,MANISH ,27/03/2023,MM/18,29/03/2023,,,,,,,
672,KKR/TS/672,USHA,MANISH ,26/10/2022,B/146,28/10/2022,19/11/2022,,,,,,
,,,MANISH ,10/05/2023,C/39,19/05/2023,,,,,,,
673,KKR/TS/673,GANESH ,,,MB/27,30/06/2022,,,,,,,
674,KKR/TS/674,ORISON ,,,,,,NA,,,,,
