SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
105,KKR/TS/105,ORISON,,15/09/2022,B/116,09/10/2022,,,,,,,
,,,,,,,,,,,,,
106,KKR/TS/106,ORISON,,15/09/2022,MJ/27,15/09/2022,06/10/2022,,,,,,
,,,,,MP/04,07/10/2022,,,,,,,
107,KKR/TS/107,BAJAJ,,,,,,NA,,,,,
108,KKR/TS/108,BAJAJ,,15/09/2022,,,,,,,,,
,,,MANISH,03/11/2022,MP/37,04/11/2022,12/04/2024,,,,,,
,,,,22/04/2024,,,,,,,,,
109,KKR/TS/109,ORISON,,15/09/2022,B/295,10/10/2022,,,,,,,
110,KKR/TS/110,ORISON,,15/09/2022,MH/10,09/10/2022,15/03/2024,,,,,,
,,,,,,,,,,,,,
111,KKR/TS/111,ORISON,,28/08/2022,,,,NA,,,,,
112,KKR/TS/112,ORISON,,28/08/2022,MC/39,22/09/2022,25/09/2022,,,,,,
,,,,,MG/15,25/09/2022,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
113,KKR/TS/113,KHAITAN,,28/08/2022,,,,,,,,,
,,,MANISH,10/01/2023,,,,,,,,,
,,,MANISH,12/01/2023,MC/35,27/01/2023,09/03/2024,,,,,,
,,,NEERAJ,03/05/2024,,,,,,,,,
114,KKR/TS/114,ORISON,,28/08/2022,MW/15,21/09/2022,17/01/2023,,,,,,
,,,MANISH,21/01/2023,MV/21,26/01/2023,23/06/2023,,,,,,
115,KKR/TS/115,ORISON,,28/08/2022,MG/39,21/09/2022,,,,,,,
116,KKR/TS/116,ORISON,,28/08/2022,C/51,28/09/2022,,NA,,,,,
,,BAJAJ,,,,,,,,,,,
117,KKR/TS/117,ORISON,,28/08/2022,C/11,26/09/2022,,,,,,,
118,KKR/TS/118,ORISON,,28/08/2022,MJ/20,07/10/2022,,,,,,,
,,,MANISH,24/09/2022,MD/14,24/03/2023,20/02/2024,?,,,,,
,,,MANISH,14/08/2023,,,,,,,,,
,,,RAHUL,02/04/2024,B/12,,,,,,,,
119,KKR/TS/119,ORISON,,28/08/2022,,,,NA,,,,,
120,KKR/TS/120,ORISON,,28/08/2022,B/240,24/09/2022,,,,,,,
121,KKR/TS/121,BAJAJ,,28/08/2022,MI/11,12/10/2022,04/11/2022,,,,,,
,,,,,,,,,,,,,
122,KKR/TS/122,ORISON,MADAN JHA ,28/09/2022,MC/15,29/09/2022,21/02/2024,,,,,,
,,,NEERAJ PAWAN,24/02/2024,B/122,15/03/2024,,,,,,,
123,KKR/TS/123,ORISON,MADAN JHA ,28/09/2022,B/41,30/09/2022,,,,,,,
124,KKR/TS/124,ORISON,MADAN JHA ,28/09/2022,MQ/17,29/09/2022,,,,,,,
125,KKR/TS/125,ORISON,MADAN JHA ,28/09/2022,,,,NA,,,,,
,,,MANISH,08/11/2022,,,,,,,,,
126,KKR/TS/126,ORISON,MADAN JHA,28/09/2022,MD/39,30/09/2022,09/10/2022,,,,,,
,,,MANISH,02/09/2023,B/253,04/09/2023,,,,,,,
127,KKR/TS/127,ORISON,NOT REPAIRABLE,,,,,,,,,,
,,ORIENT ,,,MQ/27,29/08/2022,11/10/2022,,,,,,
,,,,,,,,,,,,,
128,KKR/TS/128,ORISON,MADAN JHA,28/09/2022,MB/33,13/10/2022,,,,,,,
129,KKR/TS/129,ORISON,MADAN JHA,28/09/2022,MJ/19,02/10/2022,08/12/2022,,,,,,
